Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1712110388.2807589,282,1712110388,0,GPS1_Frame,42.29633833333334,-71.14387833333333,47.3,323271.3002068314,4684904.81886335,19,T,1.8,
1712110389.281188,283,1712110389,0,GPS1_Frame,42.29635666666666,-71.14403833333334,47.8,323258.161449642,4684907.186939443,19,T,1.8,
1712110390.281568,284,1712110390,0,GPS1_Frame,42.29637666666666,-71.14419333333333,49.0,323245.4395518523,4684909.729724847,19,T,1.8,
1712110391.2789068,285,1712110391,0,GPS1_Frame,42.29640333333334,-71.14434333333334,49.8,323233.14850438235,4684913.002427657,19,T,1.8,
1712110392.2787235,286,1712110392,0,GPS1_Frame,42.296429999999994,-71.14448333333333,50.2,323221.68184408697,4684916.254378154,19,T,1.8,
1712110393.2802634,287,1712110393,0,GPS1_Frame,42.296463333333335,-71.14462333333333,50.2,323210.23384965153,4684920.246628209,19,T,1.8,
1712110394.2802508,288,1712110394,0,GPS1_Frame,42.29649333333334,-71.14475999999999,50.3,323199.0513306607,4684923.861831488,19,T,1.8,
1712110395.2794795,289,1712110395,0,GPS1_Frame,42.296525,-71.14489166666667,50.5,323188.28567476885,4684927.651734007,19,T,1.8,
1712110396.279939,290,1712110396,0,GPS1_Frame,42.296551666666666,-71.14500333333334,51.0,323179.1547854451,4684930.844884427,19,T,1.8,
1712110397.2812726,291,1712110397,0,GPS1_Frame,42.29657666666667,-71.14509666666666,51.6,323171.5305927689,4684933.81487983,19,T,1.8,
1712110398.2807736,292,1712110398,0,GPS1_Frame,42.29660333333333,-71.14516833333333,51.9,323165.69721637195,4684936.924928547,19,T,1.8,
1712110399.2803218,293,1712110399,0,GPS1_Frame,42.29663833333334,-71.14522833333334,52.5,323160.8489417825,4684940.936087932,19,T,1.8,
1712110400.2797122,294,1712110400,0,GPS1_Frame,42.296690000000005,-71.14529666666667,53.2,323155.36034995987,4684946.815270558,19,T,1.8,
1712110401.279605,295,1712110401,0,GPS1_Frame,42.296744999999994,-71.14536666666666,54.0,323149.7437033899,4684953.068061874,19,T,1.8,
1712110402.2794545,296,1712110402,0,GPS1_Frame,42.296785,-71.14541666666668,55.4,323145.7338188519,4684957.6136601325,19,T,1.8,
1712110403.2799466,297,1712110403,0,GPS1_Frame,42.29682833333333,-71.14544500000001,56.6,323143.51941000787,4684962.484369996,19,T,1.8,
